ID;BT1;BT2;BT3;BT4;BT5;SB BT;RV1;RV2;RV3;RV4;RV5;SB RV;FECHA
1808;1;12;20;39;41;13;6;19;30;34;35;9;15/08/2018
1809;6;12;16;21;33;5;7;25;31;33;41;8;18/08/2018
1810;10;12;34;35;36;9;11;12;17;27;41;13;22/08/2018
1811;3;22;26;29;36;7;4;16;18;22;27;13;25/08/2018
1812;17;27;37;38;40;3;3;6;9;24;30;2;29/08/2018
1813;3;8;10;15;39;9;5;16;25;39;41;9;01/09/2018
1814;4;22;26;29;36;13;12;14;16;25;28;15;05/09/2018
1815;8;9;19;23;38;14;4;8;18;20;24;12;08/09/2018
1816;3;18;34;42;43;4;2;5;17;20;23;3;12/09/2018
1817;2;5;9;34;42;13;6;27;28;36;40;4;15/09/2018
1818;8;24;26;33;35;6;9;22;25;30;40;6;19/09/2018
1819;20;23;35;36;41;14;2;8;20;22;28;6;22/09/2018
1820;2;4;6;7;13;2;5;6;15;27;30;6;26/09/2018
1821;10;14;20;21;41;11;9;18;25;38;39;10;29/09/2018
1822;5;18;19;25;41;11;23;26;28;37;43;13;03/10/2018
1823;8;16;25;36;37;12;14;20;28;36;37;12;06/10/2018
1824;19;26;33;34;42;8;6;7;16;38;39;12;10/10/2018
1825;11;21;27;41;43;12;7;23;33;35;36;8;13/10/2018
1826;5;13;14;35;42;11;16;17;23;34;36;8;17/10/2018
1827;19;20;34;38;39;3;3;17;21;28;31;16;20/10/2018
1828;1;7;11;16;23;3;6;14;15;28;30;15;24/10/2018
1829;6;20;33;36;41;9;8;12;15;27;35;16;27/10/2018
1830;8;17;21;25;40;16;5;26;31;39;40;16;31/10/2018
1831;9;14;28;33;43;1;3;10;28;29;33;5;03/11/2018
1832;8;20;32;36;40;8;11;14;16;19;33;11;07/11/2018
1833;5;23;24;29;43;2;8;10;30;35;40;1;10/11/2018
1834;11;20;21;23;32;12;1;6;17;26;35;6;14/11/2018
1835;10;12;13;32;38;2;11;13;14;23;42;14;17/11/2018
1836;1;15;19;21;42;8;4;6;18;32;42;1;21/11/2018
1837;5;13;22;34;43;2;9;10;15;22;24;11;24/11/2018
1838;2;4;16;30;40;3;2;4;32;33;41;9;28/11/2018
